Lfd.-Nr.:;Objektname;BNr.:;Sorte botanisch;Objekt_Nr;Objektname_Zusatz;Baumrevier;Produkt;Sorte deutsch;örtlicher Bezug;HausNr.:;Hausnr Zusatz;Hochwert;Rechtswert;Status Baumstandort;Schadstufe;Pflegekategorie;Datum_Erfassung;Bemerkung;Pflanzjahr;Standalter;Stammanzahl;Stammumfang;Stammdurchmesser;Pflegestufe;letzte_Kontrolle_am;nächste_Regelkontrolle;letzte_Kontrolle_von;Fälldatum;Fällgrund;Baumscheibenfläche;Baumhöhe;Kronendurchmesser;Baumscheibenbreite;Baumscheibenlänge;Baumscheibenradius;Baumscheibenoberfläche;Unterpflanzung;Standort;Einfassung;Wassersack;Giessring
264;Corinthstraße;39;39 Corylus colurna (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;47|1;47;;5817723.494;395653.4221;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;06.07.2004;"06.07.2004 Baumscheibenoberfläche: Rosen
27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2004;16;1;79;25;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;5.25;11;6;1.5;3.5;;Private Bepflanzung;;;;FALSCH;FALSCH
265;Corinthstraße;4;4 Corylus colurna (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;;;;5817992.251;395297.2516;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;04.06.2004;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2004;16;1;77;25;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;4.5;11;7;1.5;3;;Sträucher;;;Granitpflaster;FALSCH;FALSCH
266;Corinthstraße;40;40 Corylus colurna (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;47|2;47;;5817728.603;395644.0121;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;06.07.2004;"06.07.2004 Baumscheibenoberfläche: Rosen
27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2004;16;1;74;24;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;5.25;12;7;1.5;3.5;;Sträucher;;;Granitpflaster;FALSCH;FALSCH
267;Corinthstraße;41;41 Corylus colurna (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;43|1;43;;5817739.926;395622.5715;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;06.07.2004;"06.07.2004 Baumscheibenoberfläche: Rosen
27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2004;16;1;83;26;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;4.5;12;7;1.5;3;;offener Boden;;;Granitpflaster;FALSCH;FALSCH
268;Corinthstraße;42;42 Corylus colurna (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;41|1;41;;5817746.842;395610.7301;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;06.07.2004;"06.07.2004 Baumscheibenoberfläche: Rosen
27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2004;16;1;73;23;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;4.5;11;7;1.5;3;;offener Boden;;;;FALSCH;FALSCH
269;Corinthstraße;43;43 Corylus colurna (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;;;;5817750.155;395603.2228;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;06.07.2004;"06.07.2004 Baumscheibenoberfläche: Rosen
27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2004;16;1;83;26;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;4.5;9;5;1.5;3;;Sträucher;;;Granitpflaster;FALSCH;FALSCH
270;Corinthstraße;44;44 Corylus colurna (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;;;;5817755.422;395594.6958;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;06.07.2004;"06.07.2004 Baumscheibenoberfläche: Rosen
27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2004;16;1;87;28;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;4.5;11;6;1.5;3;;Sträucher;;;Granitpflaster;FALSCH;FALSCH
271;Corinthstraße;45;45 Corylus colurna (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;;;;5817764.719;395577.9701;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;06.07.2004;"06.07.2004 Baumscheibenoberfläche: Rosen
27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2004;16;1;74;24;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;4.5;10;6;1.5;3;;Sträucher;;;Granitpflaster;FALSCH;FALSCH
272;Corinthstraße;46;46 Corylus spec. (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Haselnuss;;;;;;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;01.06.2015;;2015;5;1;22;7;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;4.5;4;1;1.5;3;;offener Boden;;;Granitpflaster;FALSCH;FALSCH
273;Corinthstraße;47;47 Corylus colurna (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;;;;5817777.874;395552.8676;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;06.07.2004;"06.07.2004 Baumscheibenoberfläche: Rosen
27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2004;16;1;88;28;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;4.5;11;7;1.5;3;;Sträucher;;;Granitpflaster;FALSCH;FALSCH
274;Corinthstraße;48;48 Corylus colurna (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;;;;5817783.53;395542.4112;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;06.07.2004;"06.07.2004 Baumscheibenoberfläche: Rosen
27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2004;16;1;66;21;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;4.5;11;6;1.5;3;;Sträucher;;;;FALSCH;FALSCH
275;Corinthstraße;49;49 Corylus colurna (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;;;;5817790.832;395528.8173;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;06.07.2004;"06.07.2004 Baumscheibenoberfläche: Rosen
27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2004;16;1;75;24;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;4.5;11;7;1.5;3;;Sträucher;;;Granitpflaster;FALSCH;FALSCH
276;Corinthstraße;5;5 Corylus colurna (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;;;;5817982.187;395307.9752;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;04.06.2004;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2004;16;1;54;17;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;4.5;10;6;1.5;3;;Sträucher;;;;FALSCH;FALSCH
277;Corinthstraße;50;50 Corylus colurna (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;;;;5817798.292;395516.1064;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;06.07.2004;"06.07.2004 Baumscheibenoberfläche: Rosen
27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2004;16;1;53;17;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;4.5;10;6;1.5;3;;offener Boden;;;Granitpflaster;FALSCH;FALSCH
278;Corinthstraße;6;6 Corylus colurna (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;;;;5817976.249;395314.7296;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;04.06.2004;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2004;16;1;45;14;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;4.5;8;4;1.5;3;;Sträucher;;;;FALSCH;FALSCH
279;Corinthstraße;8;8 Corylus colurna (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;;;;5817953.956;395338.9544;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;04.06.2004;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2004;16;1;58;18;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;4.5;9;5;1.5;3;;Sträucher;;;Granitpflaster;FALSCH;FALSCH
280;Corinthstraße;9;9 Corylus colurna (aktiv);CORINTHS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;;;;5817939.223;395354.5197;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;04.06.2004;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2004;16;1;53;17;2 Pflegestufe 2 (Standard);09.04.2019;07.04.2020;Lubitz Rüdiger;;;4.5;9;5;1.5;3;;Sträucher;;;;FALSCH;FALSCH
281;Dolziger Straße;44;44 Tilia intermedia 'Pallida' (aktiv);DOLZIGER;;02.09. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;Nr. 39;;;5819866.832;396028.0858;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;11.06.12;11.06.2012 Notiz: Entwicklungspflege bis 30.4.2014 Fa Kara;2012;8;1;40;13;2 Pflegestufe 2 (Standard);25.10.19;23.10.20;Baier Jana;;;3.39;5;2.5;1.15;2.95;;;;;;FALSCH;FALSCH
282;Dossestraße;3;3 Tilia intermedia 'Pallida' (aktiv);DOSSESTR;;02.01. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;Nr. 14;;;5818845.375;396340.0974;aktiv;3 stark geschädigt / Schädigungsgrad 26- 60%;1210 Straßenbaum;07.02.12;07.02.2012 Notiz: Entwicklungspflege bis 30.4.2014 Fa. Kara;2011;9;1;21;7;2 Pflegestufe 2 (Standard);11.05.20;10.05.21;Engelke Lisa;;;2;5;2;;;;;;Baumscheibe;;FALSCH;FALSCH
283;Dossestraße;48;48 Tilia intermedia 'Pallida' (aktiv);DOSSESTR;;02.01. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;Nr. 13;;;5818863.505;396338.0632;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;17.09.10;17.09.2010 Notiz: Entwicklungspflege Firma bis Oktober 2012;2010;10;1;45;14;2 Pflegestufe 2 (Standard);11.05.20;10.05.21;Engelke Lisa;;;4;9;4;;;;;;Baumscheibe;;FALSCH;FALSCH
284;Dossestraße;49;49 Tilia intermedia 'Pallida' (aktiv);DOSSESTR;;02.01. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;Nr. 13;;;5818856.341;396334.1717;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;17.09.10;17.09.2010 Notiz: Entwicklungspflege Firma bis Oktober 2012;2010;10;1;47;15;2 Pflegestufe 2 (Standard);11.05.20;10.05.21;Engelke Lisa;;;4;8;4;;;;;;Baumscheibe;;FALSCH;FALSCH
285;Dossestraße;50;50 Tilia intermedia 'Pallida' (aktiv);DOSSESTR;;02.01. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;Nr. 13;;;5818849.001;396330.2802;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;17.09.10;17.09.2010 Notiz: Entwicklungspflege Firma bis Oktober 2010;2010;10;1;47;15;2 Pflegestufe 2 (Standard);11.05.20;10.05.21;Engelke Lisa;;;4;8;5;;;;;;Baumscheibe;;FALSCH;FALSCH
286;Dossestraße;51;51 Tilia intermedia 'Pallida' (aktiv);DOSSESTR;;02.01. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;Nr. 13;;;5818842.191;396326.4772;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;17.09.10;17.09.2010 Notiz: Entwicklungspflege Firma bis Oktober 2010;2010;10;1;52;17;2 Pflegestufe 2 (Standard);11.05.20;10.05.21;Engelke Lisa;;;4;9;5;;;;;;Baumscheibe;;FALSCH;FALSCH
287;Ebertystraße;25;25 Prunus padus 'Albertii' (aktiv);EBERTYST;;02.07. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Trauben-Kirsche 'Albertii';14;14;;5820477.472;395024.7451;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;17.02.15;"Stadtbaumkampagne Herbst 2014
Entwicklungspflege bis E. 2017";2014;6;1;20;6;2 Pflegestufe 2 (Standard);12.08.19;10.08.20;Baier Jana;;;4;5;1;1;4;;;;Baumscheibe;;FALSCH;FALSCH
288;Ebertystraße;26;26 Crataegus laevigata 'Paul´s Scarlet' (aktiv);EBERTYST;;02.07. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Echter Rotdorn;Nr. 15. Ecke Ebelingstraße;;;5820447.616;395036.7155;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;10.02.12;10.02.2012 Notiz: Entwicklungspflege bis 30.4.2014 Fa Kara;2011;9;1;29;9;2 Pflegestufe 2 (Standard);12.08.19;10.08.20;Baier Jana;;;3.5;3;1;;;;;;Baumscheibe;;FALSCH;FALSCH
289;Ebertystraße;32;32 Crataegus laevigata 'Paul´s Scarlet' (aktiv);EBERTYST;;02.07. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Echter Rotdorn;Nr. 16A;;;5820389.304;395059.3084;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;10.02.12;10.02.2012 Notiz: Entwicklungspflege bis 30.4.2014 Fa Kara;2011;9;1;23;7;2 Pflegestufe 2 (Standard);12.08.19;10.08.20;Baier Jana;;;2.5;3;1;;;;;;Baumscheibe;;FALSCH;FALSCH
290;Ebertystraße;35;35 Tilia cordata 'Greenspire' (aktiv);EBERTYST;;02.07. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Winter-Linde 'Greenspire';Nr. 19;;;5820303.242;395092.7929;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;25.01.16;Entwicklungspflege bis 30.10.2017;2015;5;1;27;9;2 Pflegestufe 2 (Standard);12.08.19;10.08.20;Baier Jana;;;4.82;5;2;1.12;4.3;;;;;;FALSCH;FALSCH
291;Ebertystraße;49;49 Prunus padus 'Albertii' (aktiv);EBERTYST;;02.07. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Trauben-Kirsche 'Albertii';Nr. 31;31;;5820257.909;395123.7433;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;17.02.15;"Stadtbaumkampagne Herbst 2014
Entwicklungspflege bis E. 2017";2014;6;1;20;6;2 Pflegestufe 2 (Standard);12.08.19;10.08.20;Baier Jana;;;4;5;1;1.6;2.5;;;;Baumscheibe;;FALSCH;FALSCH
292;Ebertystraße;88;88 Tilia intermedia 'Pallida' (aktiv);EBERTYST;;02.07. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;vor Spielplatz;;;5820753.065;394931.4888;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;10.02.12;10.02.2012 Notiz: Entwicklungspflege bis 30.4.2014 Fa. Kara;2011;9;1;39;12;2 Pflegestufe 2 (Standard);12.08.19;10.08.20;Baier Jana;;;5;3;2;;;;;;Baumscheibe;;FALSCH;FALSCH
293;Edith-Kiss-Straße;1;1 Fraxinus spec. (aktiv);EDITHKSTR;;02.03. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Esche;ab Mühlenstr. rechte Seite;;;5818433.538;394073.7373;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;29.01.14;;2012;8;1;30;10;2 Pflegestufe 2 (Standard);22.04.20;21.04.21;Engelke Lisa;;;5.5;4;2;;;;;;Baumscheibe;;FALSCH;FALSCH
294;Edith-Kiss-Straße;2;2 Fraxinus spec. (aktiv);EDITHKSTR;;02.03. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Esche;;;;5818445.96;394081.3216;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;29.01.14;;2012;8;1;25;8;2 Pflegestufe 2 (Standard);22.04.20;21.04.21;Engelke Lisa;;;5.5;4;2;;;;;;Baumscheibe;;FALSCH;FALSCH
295;Edith-Kiss-Straße;3;3 Fraxinus spec. (aktiv);EDITHKSTR;;02.03. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Esche;;;;5818458.121;394088.5136;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;25.07.18;;2018;2;1;19;6;2 Pflegestufe 2 (Standard);22.04.20;21.04.21;Engelke Lisa;;;6.88;5;2;1.95;3.53;;Rindenmulch;;;;FALSCH;FALSCH
296;Edith-Kiss-Straße;4;4 Fraxinus spec. (aktiv);EDITHKSTR;;02.03. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Esche;;;;5818470.805;394096.2286;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;29.01.14;;2012;8;1;26;8;2 Pflegestufe 2 (Standard);22.04.20;21.04.21;Engelke Lisa;;;5.5;4;2;;;;;;Baumscheibe;;FALSCH;FALSCH
297;Edith-Kiss-Straße;5;5 Fraxinus spec. (aktiv);EDITHKSTR;;02.03. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Esche;;;;5818482.051;394103.5514;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;29.01.14;;2012;8;1;25;8;2 Pflegestufe 2 (Standard);22.04.20;21.04.21;Engelke Lisa;;;5.5;4;2;;;;;;Baumscheibe;;FALSCH;FALSCH
298;Edith-Kiss-Straße;6;6 Fraxinus spec. (aktiv);EDITHKSTR;;02.03. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Esche;;;;5818490.42;394108.2589;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;29.01.14;;2012;8;1;25;8;2 Pflegestufe 2 (Standard);22.04.20;21.04.21;Engelke Lisa;;;5.5;4;2;;;;;;Baumscheibe;;FALSCH;FALSCH
299;Edith-Kiss-Straße;7;7 Fraxinus spec. (aktiv);EDITHKSTR;;02.03. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Esche;;;;5818507.811;394118.9815;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;29.01.14;;2012;8;1;25;8;2 Pflegestufe 2 (Standard);22.04.20;21.04.21;Engelke Lisa;;;5.5;4;2;;;;;;Baumscheibe;;FALSCH;FALSCH
300;Edith-Kiss-Straße;8;8 Fraxinus spec. (aktiv);EDITHKSTR;;02.03. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Esche;Ecke Valeska-Gert-Str.;;;5818519.842;394126.0427;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;29.01.14;;2012;8;1;30;10;2 Pflegestufe 2 (Standard);22.04.20;21.04.21;Engelke Lisa;;;5.5;4;2;;;;;;Baumscheibe;;FALSCH;FALSCH
301;Edith-Kiss-Straße;9;9 Fraxinus spec. (aktiv);EDITHKSTR;;02.03. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Esche;ab Valeska-Gert-Str. rechts;;;5818524.288;394119.3738;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;29.01.14;;2012;8;1;27;9;2 Pflegestufe 2 (Standard);22.04.20;21.04.21;Engelke Lisa;;;5.5;4;2;;;;;;Baumscheibe;;FALSCH;FALSCH
302;Edith-Kiss-Straße;10;10 Fraxinus spec. (aktiv);EDITHKSTR;;02.03. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Esche;;;;5818512.127;394111.6587;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;29.01.14;;2012;8;1;22;7;2 Pflegestufe 2 (Standard);22.04.20;21.04.21;Engelke Lisa;;;5.5;4;1.2;;;;;;Baumscheibe;;FALSCH;FALSCH
303;Edith-Kiss-Straße;11;11 Fraxinus spec. (aktiv);EDITHKSTR;;02.03. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Esche;;;;5818494.735;394101.3284;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;29.01.14;;2012;8;1;23;7;2 Pflegestufe 2 (Standard);22.04.20;21.04.21;Engelke Lisa;;;5.5;4;2;;;;;;Baumscheibe;;FALSCH;FALSCH
304;Edith-Kiss-Straße;12;12 Fraxinus spec. (aktiv);EDITHKSTR;;02.03. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Esche;;;;5818486.628;394096.3594;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;29.01.14;;2012;8;1;27;9;2 Pflegestufe 2 (Standard);22.04.20;21.04.21;Engelke Lisa;;;5.5;4;2;;;;;;Baumscheibe;;FALSCH;FALSCH
305;Edith-Kiss-Straße;13;13 Fraxinus spec. (aktiv);EDITHKSTR;;02.03. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Esche;;;;5818462.175;394081.7139;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;29.01.14;;2012;8;1;23;7;2 Pflegestufe 2 (Standard);22.04.20;21.04.21;Engelke Lisa;;;5.5;4;1.5;;;;;;Baumscheibe;;FALSCH;FALSCH
306;Edith-Kiss-Straße;14;14 Fraxinus spec. (aktiv);EDITHKSTR;;02.03. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Esche;;;;5818449.883;394074.2603;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;29.01.14;;2012;8;1;25;8;2 Pflegestufe 2 (Standard);22.04.20;21.04.21;Engelke Lisa;;;5.5;4;2;;;;;;Baumscheibe;;FALSCH;FALSCH
307;Edith-Kiss-Straße;15;15 Fraxinus spec. (aktiv);EDITHKSTR;;02.03. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Esche;;;;5818437.199;394066.5453;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;29.01.14;;2012;8;1;34;11;2 Pflegestufe 2 (Standard);22.04.20;21.04.21;Engelke Lisa;;;5.5;4;2;;;;;;Baumscheibe;;FALSCH;FALSCH
308;Erich-Steinfurth-Straße;1;1 Tilia intermedia 'Pallida' (aktiv);ERICHST;;02.04. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;vor Freifläche;;;5819002.715;393865.8683;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;14.06.12;14.06.2012 Notiz: Entwicklungspflege bis 30.4.2014 Fa Kara;2011;9;1;35;11;2 Pflegestufe 2 (Standard);19.06.19;17.06.20;Baier Jana;;;5.1;3;1.5;1.7;3;;;;;;FALSCH;FALSCH
309;Erich-Steinfurth-Straße;2;2 Tilia intermedia 'Pallida' (aktiv);ERICHST;;02.04. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;vor Freifläche;;;5819008.094;393858.6958;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;14.06.12;14.06.2012 Notiz: Entwicklungspflege bis 30.4.2014 Fa Kara;2011;9;1;28;9;2 Pflegestufe 2 (Standard);19.06.19;17.06.20;Baier Jana;;;5.1;3;1.5;1.7;3;;;;;;FALSCH;FALSCH
